Symbol,Name,Industry,Price,PE_Static,PE_TTM,Growth_Rate,PEG,Volume_Ratio,Is_Startup,Is_Potential,Remark,Final_Score
601096,宏盛华源,电网设备,5.47,63.6046511627907,38.78,58.54,0.6624530235736249,3.62,False,False,成长低估,36.2
600004,白云机场,航空机场,9.62,24.666666666666664,16.97,64.06,0.26490789884483296,1.62,False,False,🔥热门板块,36.2
002636,金安国纪,电子元件,20.52,402.3529411764706,64.79,73.9,0.8767253044654939,2.37,False,False,估值修复,23.700000000000003
